,Abbotsford, Campbell River, Chilliwack, Creston, Dawson Creek, Dease Lake, Fort Nelson, Golden, Hope, Houston, Kamloops, Kelowna, Kitwanga, Merritt , Nanaimo, Nelson, Osoyoos, Port Hardy, Prince George, Prince Rupert, Revelstoke, Salmon Arm, Valemount, Vancouver, Vernon, Victoria, Watson Lake, Whistler, Williams Lake
Abbotsford,0,306,38,725,1231,1788,1684,668,92,1135,301,339,1304,212,151,601,339,539,828,1062,520,410,621,66,391,262,2044,190,588
 Campbell River,306,0,344,1031,1405,1482,1858,974,398,1177,607,645,998,518,155,907,645,233,1002,756,826,716,927,240,697,266,1738,364,762
 Chilliwack,38,344,0,687,1194,1761,1647,630,54,1098,263,301,1277,174,189,563,301,577,791,1100,482,372,583,104,353,300,2017,228,551
 Creston,725,1031,687,0,1427,2042,1880,352,633,1379,578,509,1558,636,876,124,386,1264,1072,1787,375,485,780,791,461,987,2298,877,866
 Dawson Creek,1231,1405,1194,1427,0,1222,453,1075,1140,710,931,1100,889,1020,1250,1385,1223,1638,403,1131,1150,1040,647,1165,1048,1361,966,1041,643
 Dease Lake,1788,1482,1761,2042,1222,0,769,1690,1707,663,1498,1667,484,1587,1637,1952,1790,1249,970,726,1717,1607,1262,1722,1615,1748,256,1608,1210
 Fort Nelson,1684,1858,1647,1880,453,769,0,1528,1593,1163,1384,1553,1253,1473,1703,1838,1676,2018,856,1495,1603,1493,1100,1618,1501,1814,513,1494,1096
 Golden,668,974,630,352,1075,1690,1528,0,576,1027,367,347,1206,456,819,399,470,1207,720,1448,148,258,428,734,295,930,1946,666,655
 Hope,92,398,54,633,1140,1707,1593,576,0,1044,209,247,1223,120,243,509,247,631,737,1154,428,318,529,158,299,354,1963,271,497
 Houston,1135,1177,1098,1379,710,663,1163,1027,1044,0,835,1004,179,924,1154,1289,1127,944,307,421,1054,944,599,1069,952,1265,919,945,547
 Kamloops,301,607,263,578,931,1498,1384,367,209,835,0,169,1014,89,452,454,292,840,528,1256,219,109,320,367,117,563,1754,299,288
 Kelowna,339,645,301,509,1100,1667,1553,347,247,1004,169,0,1183,127,490,385,123,878,697,1401,199,112,489,405,52,601,1923,468,457
 Kitwanga,1304,998,1277,1558,889,484,1253,1206,1223,179,1014,1183,0,1103,1153,1468,1306,765,486,242,1233,1123,778,1238,1131,1264,740,1124,726
 Merritt ,212,518,174,636,1020,1587,1473,456,120,924,89,127,1103,0,363,512,250,751,617,1274,308,198,409,278,179,474,1843,388,377
 Nanaimo,151,155,189,876,1250,1637,1703,819,243,1154,452,490,1153,363,0,752,490,388,847,911,671,561,772,85,542,111,1893,209,607
 Nelson,601,907,563,124,1385,1952,1838,399,509,1289,454,385,1468,512,752,0,262,1140,982,1663,251,361,774,667,337,863,2208,753,742
 Osoyoos,339,645,301,386,1223,1790,1676,470,247,1127,292,123,1306,250,490,262,0,878,820,1401,322,235,612,405,175,601,2046,518,580
 Port Hardy,539,233,577,1264,1638,1249,2018,1207,631,944,840,878,765,751,388,1140,878,0,1235,523,1059,949,1160,473,930,499,1505,597,995
 Prince George,828,1002,791,1072,403,970,856,720,737,307,528,697,486,617,847,982,820,1235,0,728,747,637,292,762,645,958,1226,638,240
 Prince Rupert,1062,756,1100,1787,1131,726,1495,1448,1154,421,1256,1401,242,1274,911,1663,1401,523,728,0,1475,1365,1020,996,1373,1022,982,1120,968
 Revelstoke,520,826,482,375,1150,1717,1603,148,428,1054,219,199,1233,308,671,251,322,1059,747,1475,0,110,539,586,147,782,1973,518,507
 Salmon Arm,410,716,372,485,1040,1607,1493,258,318,944,109,112,1123,198,561,361,235,949,637,1365,110,0,429,476,60,672,1863,408,397
 Valemount,621,927,583,780,647,1262,1100,428,529,599,320,489,778,409,772,774,612,1160,292,1020,539,429,0,687,437,883,1518,619,419
 Vancouver,66,240,104,791,1165,1722,1618,734,158,1069,367,405,1238,278,85,667,405,473,762,996,586,476,687,0,457,196,1978,124,522
 Vernon,391,697,353,461,1048,1615,1501,295,299,952,117,52,1131,179,542,337,175,930,645,1373,147,60,437,457,0,653,1871,416,405
 Victoria,262,266,300,987,1361,1748,1814,930,354,1265,563,601,1264,474,111,863,601,499,958,1022,782,672,883,196,653,0,2004,320,718
 Watson Lake,2044,1738,2017,2298,966,256,513,1946,1963,919,1754,1923,740,1843,1893,2208,2046,1505,1226,982,1973,1863,1518,1978,1871,2004,0,1864,1466
 Whistler,190,364,228,877,1041,1608,1494,666,271,945,299,468,1124,388,209,753,518,597,638,1120,518,408,619,124,416,320,1864,0,398
 Williams Lake,588,762,551,866,643,1210,1096,655,497,547,288,457,726,377,607,742,580,995,240,968,507,397,419,522,405,718,1466,398,0
